Cleaned_Feedback,Score,Label,Predicted_Sentiment
this is good opportunity to work with guess,1,Positive,Positive
the organization gives value to its employees i happy to be part of guess,1,Positive,Positive
very very good process,1,Positive,Positive
no specific reason,2,Neutral,Neutral
good going best wishes,1,Positive,Positive
happy to be a part of guess,1,Positive,Positive
its a bliss to work with guess thank you for this opportunity,1,Positive,Positive
not thinking any growth opportunities for my profile,3,Negative,Negative
i was supposed to get growth as per my last experience but not got the same not getting proper solution of any issues at right time for me or for candidates,3,Negative,Negative
guess is deliberately serving the country have reached at unique mark within a short span but the solution to candidates should improve more than now,2,Neutral,Neutral
guess company is team work company,1,Positive,Positive
well supportive staff and enjoying working culture,1,Positive,Positive
no feedback to share,2,Neutral,Neutral
guess is the best company my st cooperate job in in guess i like this company company employee is awesome good management we are 1 team,1,Positive,Positive
hi nikki as per my knowledge everything is fine,2,Neutral,Neutral
manager has to hand hold sometimes till new employees adjust the work environment,3,Negative,Negative
sorry by mistake its clicked,2,Neutral,Neutral
no thanks,4,No Match,Neutral
winning together is the best motivation i have heard from any organization,1,Positive,Positive
i have just completed 3 months overall experience is good,1,Positive,Positive
friendly behavior and encourage,2,Neutral,Neutral
individual kauri credentials is needed,3,Negative,Negative
i good with everything,1,Positive,Positive
right now nothing to say,2,Neutral,Neutral
friendly nature management is good,1,Positive,Positive
process is not clear approval is taking time,3,Negative,Negative
pl work on policies and keep it on portal for easy access,2,Neutral,Neutral
subbase,2,Neutral,Neutral
its great experience working with guess,1,Positive,Positive
respect is important,2,Neutral,Neutral
calm place to work,1,Positive,Positive
kindly give the seekers on weekends that will help us to feel relaxed,3,Negative,Negative
it good working here,1,Positive,Positive
awesome,2,Neutral,Neutral
i have rejoined this company after 10 months let me tell you a lot of things have changed since then like on the day of my joining i was given a nice joining kit and offered lunch this is a very good start for the employee i really found,1,Positive,Positive
everything is good as of now,1,Positive,Positive
i don't have full access but regular access,3,Negative,Negative
it is not a process that i recommend to my friends,3,Negative,Negative
chang the timings,3,Negative,Negative
saturday working for my department every other department has weekend off both sat and sun,3,Negative,Negative
i would work independently rather than working as a rat,3,Negative,Negative
timings,2,Neutral,Neutral
working days from monera,3,Negative,Negative
i have done already thanks,2,Neutral,Neutral
everything is good so far thank you for the opportunity,1,Positive,Positive
who,2,Neutral,Neutral
monthly targets,2,Neutral,Neutral
over all very good,1,Positive,Positive
cry platform for sales would be appreciated,3,Negative,Negative
work from home option to be needed,3,Negative,Negative
rewards and recognition to be given in team which motivates team towards achieving goals faster,3,Negative,Negative
training is required completely on few applications,3,Negative,Negative
work from home option to be given in a week for 2 or days and back up for my work to be given if on leave for any emergency,3,Negative,Negative
it was an awesome journey in guess since last 60 days i hope i will make my career bright with in few times thank you,1,Positive,Positive
nothing all good,2,Neutral,Neutral
after all i would like to say thank you guess for giving me a wonder opportunity,2,Neutral,Neutral
few process has to be fallowed,3,Negative,Negative
same most of the process,2,Neutral,Neutral
at present nothing all are movies good from my side,2,Neutral,Neutral
i don't receive my employee id,3,Negative,Negative
if your employee is working on weekend then you should give him incentive ya some bonus ya some gift and also convoy,3,Negative,Negative
communication gap with he,3,Negative,Negative
work management is weak,3,Negative,Negative
no change,2,Neutral,Neutral
give some incentive and bonus to your emp,3,Negative,Negative
professional organization,1,Positive,Positive
everything is well,1,Positive,Positive
now thing are ok happy to work,1,Positive,Positive
good organization and happy to work,1,Positive,Positive
overall great experience,1,Positive,Positive
the timings no freedom,3,Negative,Negative
give freedom for work,3,Negative,Negative
the timings no work ethic no freedom,3,Negative,Negative
the timings and work for freedom,2,Neutral,Neutral
change the timings from monera,3,Negative,Negative
it was really a smooth process while boarding and training so as of now i feel everything is good,1,Positive,Positive
guess is a great company to work and it cares about its employees and their welling,1,Positive,Positive
highly motivating working environment,2,Neutral,Neutral
thank you for giving opportunity to work in guess corp and satisfied in work i need more opportunity to grow myself,2,Neutral,Neutral
can be more training incentive,3,Negative,Negative
am not getting interviews as per my submissions,3,Negative,Negative
guess is great place to improve my career guess given me a platform to prove myself thank you so much,1,Positive,Positive
ni,4,No Match,Neutral
yes,4,No Match,Neutral
guess is the best place to work,1,Positive,Positive
share my kit please,2,Neutral,Neutral
please provide my kit,3,Negative,Negative
all great till now,1,Positive,Positive
he managers response is very good its good to connect with them,1,Positive,Positive
as of now every thing is going good,1,Positive,Positive
guess is the first place i have worked for and i completely believe that i am the luckiest among the luckiest candidates as a fresher this platform is a life changing opportunity and i am glad that i grabbed the opportunity which was landed to me look,1,Positive,Positive
everything is fine now,2,Neutral,Neutral
required technical training and document,3,Negative,Negative
circle level management need to be streamlined,3,Negative,Negative
don't want to share,3,Negative,Negative
i feel there a gap in communication,3,Negative,Negative
guess company is the familiar of all employee and that company atmosphere is good for us,1,Positive,Positive
great working at guess,1,Positive,Positive
so far okay,4,No Match,Neutral
it is best place to work and the team is so supportive as it comes to team leaders,1,Positive,Positive
please don't harass any employee please check with the employees if they are being harassed by their tl and manager not only that our incentives are not being given anymore and also weekend allowances reduced and now lop in salary this all making me to re,3,Negative,Negative
do not harass her team members,3,Negative,Negative
every thing if employees will be given with bonus and et we will get interest to work but here company is forcefully cutting our money,3,Negative,Negative
not at all fair in payroll,3,Negative,Negative
no not at all i have to fight for money and get 100 of approval to get my money which is not fair,3,Negative,Negative
no one given me,3,Negative,Negative
nothing i just want to leave,3,Negative,Negative
i don't thing by my only feedback anything will change here,3,Negative,Negative
i don't want to,3,Negative,Negative
i appreciate guess crop for this all services i really very happy after joining and i suggest others to join,1,Positive,Positive
need more requirements to work on,3,Negative,Negative
he is doing his best,1,Positive,Positive
boardings,2,Neutral,Neutral
could be better,3,Negative,Negative
better work life balance,2,Neutral,Neutral
till now i have not received my employee id card,3,Negative,Negative
nothing specific,3,Negative,Negative
guess needs a lot of process changes which will take some more time,3,Negative,Negative
guess stay best places to work always,1,Positive,Positive
lots of politics,3,Negative,Negative
need to support for hard workers,3,Negative,Negative
no words,2,Neutral,Neutral
i am satisfied,1,Positive,Positive
nothing as of now everything is good thankyou,2,Neutral,Neutral
its a good organization and very employee friendly environment,1,Positive,Positive
excessive time taken,3,Negative,Negative
old team is in comfort zone,3,Negative,Negative
thankyou,2,Neutral,Neutral
everything is inline and good as of now,1,Positive,Positive
manager has to answer this question,3,Negative,Negative
thanks for joining as part of guess family,1,Positive,Positive
need refreshment in between work,3,Negative,Negative
as of now everything is going well only i can request for of for one day in between my period cycle,3,Negative,Negative
nothing am in sales you know its not easy with targets and numbers,3,Negative,Negative
the structure and process,3,Negative,Negative
cry and sales tools,2,Neutral,Neutral
overall a good experience working here and a lot more to come,2,Neutral,Neutral
great place yo work,1,Positive,Positive
great place to work good experience till date all queries are resolved within time,1,Positive,Positive
don't know i felt same,3,Negative,Negative
nothing to suggest everything best so far,1,Positive,Positive
nothing at the moment,2,Neutral,Neutral
i am happy about guess and great opportunity to career growth,1,Positive,Positive
my boss gives me anxiety,3,Negative,Negative
understand ask appreciate stop being so critical give work from home instead of telling to take a leave instead when i ask with a valid reason,3,Negative,Negative
because she never really does,3,Negative,Negative
i think no matter how good other people are if we don't feel that comfort with our manager it feels like being suffocated,3,Negative,Negative
change managers attitude,3,Negative,Negative
nothing else kindly keep all of this confidential,2,Neutral,Neutral
great working environment,1,Positive,Positive
üòä,2,Neutral,Neutral
completed one month in guess its nice experience till now,1,Positive,Positive
there is a need of proper management,3,Negative,Negative
i am not sure i am still in phase of understanding the system,3,Negative,Negative
the work culture the forklift balance is missing,3,Negative,Negative
i am still learning and trying my best to deliver the quality work to get appreciated at workplace,3,Negative,Negative
i need clarity on the salary structure,3,Negative,Negative
over all i happy working here òôè,1,Positive,Positive
good ambience of working,2,Neutral,Neutral
nothing yet,2,Neutral,Neutral
i am really happy to be a member of guess family and i get also good support from the team and from the manager,1,Positive,Positive
every thing is fine,1,Positive,Positive
guess is very good place to work and growth our carrier moreover i am very about teamwork,1,Positive,Positive
the organization is in the right path to success happy to be part of this journey,1,Positive,Positive
almost all scenario which new employee is looking in new organization are ok,2,Neutral,Neutral
overall its a great work environment,1,Positive,Positive
happy and satisfied,1,Positive,Positive
food conveyance during tour to be consider for revalue,3,Negative,Negative
need support,3,Negative,Negative
all thing ok,1,Positive,Positive
seating space for the team in the office,2,Neutral,Neutral
as of now na,2,Neutral,Neutral
good work keep it up,2,Neutral,Neutral
all good great place,1,Positive,Positive
time need to be set for mail response,3,Negative,Negative
working style,2,Neutral,Neutral
more new processes to be introduced to align with the company objectives,3,Negative,Negative
more support is required from colleagues,3,Negative,Negative
more internal processes and standard of procedures,3,Negative,Negative
more improvements should be done for the internal operations to achieve the company objective,3,Negative,Negative
i done my feedback,2,Neutral,Neutral
excellent working with our guess and our mangers r very supportive the for the opportunity,1,Positive,Positive
good companygood team,2,Neutral,Neutral
feeling pressurized and lots of stress no work life balance micro management is also there,3,Negative,Negative
